oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
121,10455,0.5894,0.7406,0.2825,0.4106,0.2594,High Connected,High Connected,5,4,55,26.5,27,18,56,3.11
122,10456,0.5845,0.7125,0.2596,0.4155,0.2875,High Connected,High Connected,5,7,204,27.9,9,17,84,4.94
123,10457,0.567,0.7439,0.2676,0.433,0.2561,High Connected,High Connected,5,5,128,9,42,35,85,2.43
124,10458,0.5798,0.7737,0.2087,0.4202,0.2263,High Connected,Medium High Connected,5,3,290,28.1,18,21,72,3.43
125,10459,0.5911,0.7392,0.2813,0.4089,0.2608,High Connected,High Connected,4,3,84,16.7,3,15,46,3.07
126,10460,0.5834,0.7433,0.2855,0.4166,0.2567,High Connected,High Connected,4,2,82,23.8,8,11,58,5.27
127,10461,0.6841,0.7337,0.1759,0.3159,0.2663,Medium High Connected,High Connected,5,5,113,29.8,5,26,65,2.50
128,10462,0.6637,0.75,0.1757,0.3363,0.25,High Connected,Medium High Connected,5,4,183,55.2,6,8,76,9.50
129,10463,0.6974,0.7384,0.1557,0.3026,0.2616,Medium High Connected,High Connected,5,6,123,18.2,4,12,58,4.83
130,10464,0.6383,0.6138,0.2409,0.3617,0.3862,High Connected,High Connected,3,1,19,4.3,1,11,6,0.55
131,10465,0.7011,0.7449,0.1515,0.2989,0.2551,Medium High Connected,High Connected,4,3,63,7.5,22,26,67,2.58
132,10466,0.6133,0.712,0.1929,0.3867,0.288,High Connected,High Connected,4,3,84,40.4,6,18,53,2.94
133,10467,0.6162,0.7359,0.206,0.3838,0.2641,High Connected,High Connected,4,9,179,27.3,15,25,93,3.72
134,10468,0.6166,0.7575,0.1999,0.3834,0.2425,High Connected,Medium High Connected,4,2,82,24.8,26,29,69,2.38
135,10469,0.655,0.7466,0.1898,0.345,0.2534,High Connected,Medium High Connected,4,4,58,11.4,6,29,63,2.17
136,10470,0.6068,0.7257,0.1767,0.3932,0.2743,High Connected,High Connected,4,1,23,3.5,1,3,15,5.00
137,10471,0.7377,0.7549,0.1385,0.2623,0.2451,Medium High Connected,Medium High Connected,4,2,33,13.2,3,3,26,8.67
